raw_name,standard_name,verification_status,source_url,notes,count
上海财经大学,上海财经大学,中,,按原表企业名保留，未命中已知别名库,1
中国银行总行,中国银行总行,中,,按原表企业名保留，未命中已知别名库,1
加势基金,加势基金,中,,按原表企业名保留，未命中已知别名库,1
大连大学附属中山医院,大连大学附属中山医院,中,,按原表企业名保留，未命中已知别名库,2
大连市中心医院,大连市中心医院,中,,按原表企业名保留，未命中已知别名库,2
七五只要,七五只要,中,,按原表企业名保留，未命中已知别名库,1
宇通客车股份有限公司,宇通客车股份有限公司,中,,按原表企业名保留，未命中已知别名库,2
大族激光,大族激光,中,,按原表企业名保留，未命中已知别名库,3
赢合科技,赢合科技,中,,按原表企业名保留，未命中已知别名库,1
汉德车桥,汉德车桥,中,,按原表企业名保留，未命中已知别名库,1
银跑汽车,银跑汽车,中,,按原表企业名保留，未命中已知别名库,1
北京某车辆研究所,北京某车辆研究所,中,,按原表企业名保留，未命中已知别名库,1
强生制药,强生制药,中,,按原表企业名保留，未命中已知别名库,1
联合立华,联合立华,中,,按原表企业名保留，未命中已知别名库,1
BPF,BPF,待核实,,纯英文或缩写企业名，需人工复核,1
阳光电源,阳光电源,中,,按原表企业名保留，未命中已知别名库,1
山东电网,山东电网,中,,按原表企业名保留，未命中已知别名库,1
拼多多,拼多多,中,https://www.pinduoduo.com/,常用品牌名,3
蚂蚁集团,蚂蚁集团,中,https://www.antgroup.com/,常用品牌名,2
经法科技,经法科技,中,,按原表企业名保留，未命中已知别名库,1
长城汽车,长城汽车,中,,按原表企业名保留，未命中已知别名库,1
华工激光,华工激光,中,,按原表企业名保留，未命中已知别名库,1
Shopee,Shopee,待核实,,纯英文或缩写企业名，需人工复核,1
毕丽毕丽,毕丽毕丽,中,,按原表企业名保留，未命中已知别名库,1
东风汽车,东风汽车,中,,按原表企业名保留，未命中已知别名库,3
大动汽车,大动汽车,中,,按原表企业名保留，未命中已知别名库,1
哔哩哔哩,哔哩哔哩,中,https://www.bilibili.com/blackboard/aboutUs.html,常用品牌名,1
贵州黎阳航空动力有限公司,贵州黎阳航空动力有限公司,中,,按原表企业名保留，未命中已知别名库,1
